start	end	text	predictions
656.16	661.68	 But you and me the brokers we're taking home cold hard cash via Commission motherfucker	1.0
662.76	663.1	 right	0.0
665.2	666.96	 It's incredible sir, I'm	0.0
667.06	670.48	 Can't tell you how excited I am. You should be it's two keys	0.0
671.4	674.66	 to success in the broker business first of all	0.0
677.54	680.66	 You got to stay relaxed yeah you jerk off	1.0
682.48	687.28	 Boy do I jerk off? Yeah. Yeah, I jerk off. Yeah, how many times a week?	1.0
688.9	694.3	 Like three three four three four times maybe I'll pump those numbers up. Those are rookie numbers in this racket	0.0
695.32	697.54	 I myself I jerk off at least	1.0
698.46	699.28	 twice a day	0.0
699.98	704.68	 Once in the morning right after I work out and then once right after lunch really okay	0.0
705.56	709.54	 I want to that's not why I do it. I do it because I fucking need to	1.0
711.1	716.5	 Think about it. You're dealing with numbers all day long decimal points high frequencies bang bang bang	0.0
717.66	722.68	 Fucking digits kick it all very acidic above-the-shoulders mustard shit	1.0
724.46	730.44	 People out right you got to feed the geese to keep the blood flowing I keep the rhythm below the belt	0.0
731.86	735.5	 This is not a tip. This is a prescription trust me if you don't	0.0
736.04	742.64	 You will fall out of balance split your differential and tip the fuck over or worse yet. I've seen this happen implode	1.0
744.52	748.4	 No, no you don't I'm in it for the long run you know implosions are ugly	1.0
748.62	752.44	 Yeah, pop off to the bathroom work one at any time you can and when you get really good at it	0.0
752.56	754.6	 You'll fucking be stroking it you'll be thinking about money	1.0
756.38	763.0	 Second key to success in this racket is this little baby right here. It's called cocaine	0.0
764.16	769.74	 Right it will keep you sharp between the ears. It'll also help your fingers dial faster and guess what?	0.0
770.82	771.7	 That's good for me	0.0
772.8	773.66	 Yes, sir	0.0
774.86	776.42	 Revolutions you follow	0.0
776.76	782.98	 Revolutions keep the clients on the fair's will and it goes the park is open 24 7 3 6 5	0.0
783.72	786.08	 Every decade every goddamn century	1.0
791.46	793.06	 How kitty-ki mmm	0.0
806.76	807.94	 Mmm	0.0
812.1	813.06	 With a common denominator	0.0
822.26	829.3	 Keep it up with me see oh, oh the money comes in the parade comes to town	0.0
830.32	833.12	 Going down Broadway is a one-way street	0.0
834.02	835.12	 Whichever way I go	0.0
836.76	838.02	 Mmm	0.0
839.4	842.5	 The next six months I got to know the ins and outs of Wall Street	0.0
842.94	846.14	 Earning shit money as I geared up to take my series 7	1.0
860.86	863.94	 Then I was a licensed broker at last	0.0
864.76	866.3	 Ready to make my fortune	0.0
866.76	868.76	 My first day is a future	0.0
869.22	870.74	 master of the universe	0.0
888.74	890.32	 They called it black Monday	0.0
891.22	894.36	 No shit by 4 p.m. The market had dropped	1.0
894.46	899.34	 508 points the biggest plummet since the crash of 29	0.0
900.46	903.99	 Mine now, I don't know some fucking country in Europe took a shit	1.0
903.99	908.62	 Let them do what they want to fucking do our markets. This is not something that you want to see what happened	1.0
909.28	911.0	 Fucking soon. I think you're making a big mistake	1.0
911.8	913.4	 Yes, I will talk to you trust me	0.0
913.56	917.1	 Do not answer the phone a lot of people gonna be calling you trying to get your dirty long	1.0
917.1	919.8	 I don't know what's going on here. I know I know	0.0
924.28	925.56	 I	0.0
930.12	934.72	 Holy fucking shit	1.0
937.1	944.98	 Unbelievable my first shitty day is a broker within a month LF Rothschild an institution since	1.0
945.14	947.82	 1899 closed its doors	0.0
948.96	952.92	 Wall Street had swallowed me up and shit me right back out again	1.0
954.28	956.48	 I	0.0
956.76	958.76	 Think upon my engagement ring if we needed to	0.0
959.64	965.42	 That'll mine if we needed so I'm saying listen to me. You're not pointing anything. Okay?	0.0
966.38	970.48	 What I always tell you you're gonna be a millionaire. That's right. Okay, just let me look	0.0
971.18	977.64	 We find something about this nobody beats the whiz electronics or stock boy. What do you think?	0.0
977.64	981.96	 You're not gonna work at that place. Yeah, but you know you start off you're gonna be miserable at that place	0.0
981.98	984.71	 If you go there it's sales you work your way up you be a general manager	0.0
984.71	987.96	 You're not gonna be a stock boy. Why not because you're a stock broker	0.0
989.02	993.06	 You understand that nobody's hiring stock brokers right now. You understand that okay?	0.0
999.48	1000.6	 This place is	0.0
1003.04	1003.68	 Stock brokers	0.0
1006.0	1007.26	 Long Island stock broke	0.0
1011.84	1013.82	 Oh	0.0
1028.64	1031.98	 Hey, I'm looking for an investor center	0.0
1033.36	1034.18	 Hey you want to invest?	0.0
1035.54	1036.02	 No	0.0
1036.26	1038.22	 Investor center I'm looking for investor center	0.0
1039.38	1045.04	 No, this is it is it oh, I'm Dwayne you're Dwayne yeah, I Dwayne we spoke on the phone	0.0
1045.92	1051.16	 I'm Jordan Belfort. I'm the broker from Rothschild New York. Yes. Yeah, have a seat. How are you?	0.0
1051.9	1055.54	 No, we had a conversation on the phone earlier right two hours ago, right?	0.0
1059.66	1060.84	 That's what that means	0.0
1065.04	1066.43	 So uh	0.0
1066.43	1067.52	 We're	0.0
1069.56	1074.97	 Cotron's yeah computers. No. No, we don't even need computers here. We just trade right up the pink sheets here. Yeah	0.0
1074.97	1081.72	 Yeah, they're penny stocks, you know companies that can't get listed on NASDAQ. They don't have enough capital their shares trade here penny stocks	0.0
1082.26	1087.94	 Yeah, this one arrow time is a really interesting or arrow time arrow time. Yeah	0.0
1089.84	1093.36	 Arrow arrow time arrow time. Yeah, very hot stock right now. Yeah	0.0
1093.66	1097.86	 Yeah, there's just a couple of brothers that are making radar detectors out of their garage they're out of Dubuque	0.0
1098.0	1102.8	 Maybe it's microwaves. I'm not sure but you call the company the main line their mom Dorothy answers and she is so sweet	0.0
1102.8	1106.64	 I actually don't know what else I don't know anything else about them other than that	0.0
1107.8	1108.7	 six cents a share	0.0
1110.98	1116.4	 Buys this crap. Well, I mean honestly mostly schmucks at postmen. There's always postmen	1.0
1117.14	1117.86	 plumbers	0.0
1118.68	1124.12	 They see our ads in the back of the hustler and popular mechanics and our our ads actually say they can get rich quick	0.0
1124.98	1131.64	 Hustler. Yeah, you know the girly magazine. Yeah. Yeah nudie Meg a lot. Yeah, we're helping them finance houses	0.0
1131.8	1135.4	 We're helping them buy their wife a diamond ring a boat. Maybe is this	0.0
1136.18	1138.78	 This stuff regulated or you guys what are you doing here?	0.0
1142.14	1143.86	 Sort of sort of	0.0
1143.86	1144.42	 I	0.0
1146.22	1152.7	 Jesus Christ the spread on these is huge. Yeah, and that's the point. That's what's your name again mine Jordan Belfort Jordan	0.0
1152.72	1156.72	 What do you get on a blue chip stop? I make 1% I did me	0.0
1157.66	1158.82	 Pink sheets, it's 50	0.0
1162.14	1162.74	 It's 50%	0.0
1164.64	1169.39	 50% commission help for what it's our markup for our services	0.0
1169.39	1173.44	 So if I if I if I sell a stock at $10,000	0.0
1175.04	1178.3	 My commission is five thousand bucks. If you sell ten thousand dollars worth of this stock	0.0
1178.3	1179.32	 I will personally give you a blowjob for free	0.0
1183.34	1184.46	 And I hope it happens	0.0
1187.42	1190.78	 Hello John, how you doing today you mailed in my company a postcard a few weeks back	0.0
1191.88	1197.3	 Requesting information on penny stocks that had huge upside potential with very little downside risks. Is that ring a bell?	0.0
1197.3	1198.92	 Okay, great well reason for the call today John is	0.0
1202.74	1204.96	 Something just came across my desk John. It is perhaps the best thing	0.0
1206.6	1211.06	 I've seen in the last six months if you have 60 seconds, I'd like to share the idea with you got a minute name of the company	0.0
1211.1	1211.56	 Aero Tine International	0.0
1212.68	1215.16	 It is a cutting-edge high-tech firm out of the Midwest	0.0
1218.86	1223.86	 Awaiting imminent patent approval on a next generation of radar detectors that have both huge military and civilian	0.0
1226.1	1230.54	 Applications now right now John the stock trades over-the-counter at ten cents a share and by the way John	0.0
1232.98	1235.8	 Our analysts indicate it could go a heck of a lot higher than that your profit on a mere	0.0
1235.8	1237.72	 $6,000 investment would be upwards of	0.0
1238.08	1239.08	 $60,000	0.0
1240.9	1242.42	 Exactly you could pay off your mortgage	0.0
1244.38	1247.06	 John one thing I can promise you even in this market	0.0
1247.34	1250.54	 Is that I never ask my clients to judge me on my winnings	0.0
1250.7	1256.32	 I asked them to judge me on my losers because I have so few and in the case of Aero Tine	0.0
1259.5	1262.0	 Based on every technical factor out there John. We are looking at a grand slam home run	0.0
1264.76	1267.14	 4,000 that'd be 40,000 shares John	0.0
1270.78	1272.84	 Let me lock in that trade right now and get back to with my secretary with an exact confirmation sound good John	0.0
1272.94	1276.22	 Great. Hey John. Thank you for your vote of confidence	0.0
1277.02	1277.78	 Welcome to the Aero Tine International	0.0
1278.46	1281.7	 Your vote of confidence and welcome to the Investor Center	0.0
1287.78	1289.2	 How'd you fucking do that	1.0
1291.9	1296.78	 Just like that I made two grand the other guys looked at me like I just discovered fire	0.0
1298.3	1303.78	 Great even better. I was selling garbage to garbage men and making cash hand over fist	1.0
1303.8	1306.14	 The only problem you're gonna have is that you didn't buy more	0.0
1307.0	1311.24	 Boom shock so I was selling them shit where go the way I looked at it	1.0
1311.6	1315.24	 Their money was better off in my pocket. I knew how to spend it better	0.0
1316.2	1316.8	 Excuse me	0.0
1317.64	1319.28	 That's your car in the lot. Yeah	0.0
1320.44	1327.19	 It's a nice ride. Thanks man. Donny is off. Hey Jordan Belfort. Thanks. You know, actually I see that car around	0.0
1327.19	1330.8	 I see it around a lot. I think we live in the same building	0.0
1331.34	1336.28	 Shit yeah, yeah 12th floor. Yeah. Yeah, what floor you are for floor little kids	1.0
1339.4	1340.12	 What do you do bro	0.0
1341.8	1347.38	 When you blame me when I do for work, what do you do? I'm a stockbroker stockbroker. Yeah	0.0
1348.38	1351.4	 Children's furniture. Oh good for you. It's all right	0.0
1352.64	1353.34	 Make a lot of money	0.0
1355.36	1359.78	 Yeah, I do all right for myself I'm trying to put it together you fucking nice car	1.0
1360.26	1363.5	 The same building I just I'm not understand how much money	0.0
1366.86	1368.14	 70,000 last month	0.0
1371.88	1375.32	 I'm serious. Yeah. No, I'm serious, too. Seriously. How much money?	0.0
1376.58	1377.96	 I told you	0.0
1378.04	1383.06	 70,000 well technically 72,000 last month something like that	0.0
1384.46	1385.5	 You may send me to grant	0.0
1386.66	1386.96	 Yeah	0.0
1390.16	1392.2	 I	0.0
1392.2	1392.86	 Tell you what	0.0
1394.62	1398.46	 You show me a pay stuff for 72 thousand dollars on it. I quit my job right now and I work for you	0.0
1406.68	1407.86	 Hey Paulie, what's up?	0.0
1408.7	1412.8	 No, yeah, you know everything's fine. Hey, listen, I quit and he did quit his job	0.0
1413.66	1417.64	 Which I thought was a little weird. I mean I just met this fucking guy. Fuck you. Tell Susan	1.0
1418.38	1421.77	 There were other things about him too like his phosphorescent white teeth	0.0
1421.77	1426.88	 I got a fucking deal with your wife fact that he wore horn rims with clear lenses just to look more waspy	1.0
1427.68	1429.06	 then there were these	0.0
1430.64	1430.66	 rumors	0.0
1436.52	1441.64	 She wouldn't you know people say shit I don't I don't listen to it half the time	1.0
1441.9	1443.62	 I said	0.0
1445.22	1450.84	 That shit about you cousin or something like that. I don't even listen to it. It doesn't even know it's not like that	1.0
1450.84	1455.28	 You know, it's not like that. I mean like married your cousin is some stupid shit, you know	1.0
1456.78	1461.36	 Yeah, my wife yeah, my wife is my cousin or whatever, but it's not like what you think	0.0
1461.36	1466.96	 Whatever, you know, is she like first cousin or she yeah. No, she her father	0.0
1468.6	1470.24	 Is the piece the brother of my mom?	0.0
1470.84	1474.84	 It's not like you know, look we grew up together and she grew up	0.0
1476.4	1479.74	 I know my friends are trying to fuck you know, I'm not gonna let someone	1.0
1480.4	1484.9	 One of these assholes fuck my cousin. So I used the cousin thing is like yeah like an end	1.0
1485.0	1490.48	 I'm not gonna let someone else fuck my cousin, you know, if anyone's gonna fuck my cousin, it's gonna be me	1.0
1490.48	1495.24	 I don't have respect. No, I get it. Yeah. Yeah. Yeah. I mean you're not afraid of like the whole kid thing, right?	0.0
1496.16	1496.88	 Yeah	0.0
1498.32	1500.66	 I mean, I don't mean I don't want to get personal	0.0
1502.22	1506.98	 No, they're not retarded or anything like that. There's a big chance right? Yeah, you know, yeah	1.0
1506.98	1511.86	 There's like a 60% you know 60 to 65 percent chance kids gonna be fucking retarded or whatever	1.0
1511.86	1517.64	 That's shit out of my buddy. I look man a lot of having a kid or whatever takes risks whether you fucking cousins or not	1.0
1517.64	1522.24	 What what if you I mean, what if something like that happened? I basically you know, if the kid was retarded	1.0
1522.54	1527.98	 I would you know drive it up to the country and just like, you know open the door and let us that you're free now	0.0
1527.98	1529.12	 You know one free	0.0
1543.22	1548.08	 We would take it to like an institution or somewhere that's handled to like, you know raise the kid or whatever	0.0
1548.92	1553.36	 You know what if you're happy god bless you buddy, no, I'm not fucking happy no one is married is fucking	1.0
1554.72	1560.76	 I'm sorry to hear that buddy. Listen, I'm really you know, I'm really appreciative of this fucking job	1.0
1561.84	1565.5	 Really happy what you're doing. Actually, I got you a little present	0.0
1573.3	1575.06	 It's wrapped up or something	0.0
1580.36	1580.38	 Fucking	1.0
1607.88	1608.8	 Oh	0.0
1631.46	1633.3	 We gotta get out of here	0.0
1634.6	1636.0	 Let's go fucking	1.0
1647.92	1653.24	 You reach Frank's best order body we're close right now, so please leave us a message	0.0
1653.96	1658.72	 Hello, my name is Jordan Belfort. My partner and I are very interested in renting out your garage	0.0
1659.14	1663.62	 Donnie and I were going out on our own and the first thing we needed was brokers	0.0
1664.1	1670.84	 Guys with sales experience so I recruited some of my hometown boys sea otter who sold meat and weed	0.0
1671.44	1678.52	 Chester who sold tires and weed and Robbie who sold anything he could get his hands on mostly weed	0.0
1682.1	1686.2	 This is Brad and Brad's the guy I really wanted but he didn't go along with us	0.0
1686.32	1691.5	 He was already making so much money selling quail eggs. He'd become the quail ood king of Bayside	0.0
1694.06	1697.88	 Some of them chicks around here sometime, huh? Little much little much	0.0
1699.66	1700.3	 He's it	0.0
1701.3	1705.78	 Tell your sister. I was asking about it. Would you bring me a pair of her panties next time you come through?	0.0
1706.82	1710.68	 Yeah, man, she said they don't want to talk to you anymore man the fuck out of you	1.0
1712.18	1713.48	 Hey, ma, we got chicken or what?	0.0
1714.92	1715.34	 ma	0.0
1716.66	1718.54	 You listen it's easier than you think	0.0
1718.96	1722.68	 Every person you're on the phone with they want to get rich and they want to get rich quickly	0.0
1723.02	1726.54	 Don't want something for nothing. It was just one time that I was selling pots of the same student	0.0
1726.6	1729.88	 You know those guys you got like the beard with like no mustache or some bullshit	1.0
1730.76	1733.62	 Well, he says that he only wants to make furniture	0.0
1736.92	1740.72	 What the fuck are you talking about I'm not putting words in your mouth or nothing	1.0
1740.76	1743.72	 But you just said that everybody wants to get rich	0.0
1744.46	1746.6	 Holy fuck you did just say that you say that	1.0
1747.5	1751.16	 What do you know? What the fuck are you talking about? Yeah, I'm like Buddhist. They don't give a shit about money	1.0
1751.2	1755.08	 They're wrapped in sheets. They're not buying shit. I'm not talking about Buddhist or Amish	1.0
1755.1	1759.49	 I'm talking about normal people working-class everyday people. Everyone wants to get rich my crazy	1.0
1759.49	1762.78	 There's no such thing as Amish Buddhist. I'm pretty fucking sure no I didn't	1.0
1765.76	1767.12	 You guys not want to make money	0.0
1770.32	1774.2	 I could sell anything should I could sell lose to a convent full of nuns get him so	0.0
1775.42	1780.48	 That's the attitude you can sell anything some of this fucking pen right you can sell anything sell that	1.0
1781.12	1781.94	 pen	0.0
1783.16	1788.79	 Can I finish eating first? I need Brad so I'm how it's done boom. Tell me that pen watch on	0.0
1788.79	1793.98	 Let me sell this fuck pen. That's my boy right there this fucking sell anything. Would you do me a favor?	1.0
1793.98	1798.72	 Why'd you name down that napkin for I don't have a pen exactly supplying the man	0.0
1798.72	1800.52	 I don't say he's creating	0.0
1800.68	1804.32	 Urgency we getting to want to buy the stuff. It's something that they need	0.0
1804.32	1807.9	 You know me and that's a thing all nuns are lesbians	0.0
1811.36	1811.62	 Dude	0.0
1817.58	1820.88	 Look I knew these guys weren't like Harvard MBAs	0.0
1821.32	1827.98	 Robbie Feinberg the pinhead took five years to finish high school Alden Kupferberg the Seattle didn't even graduate	0.0
1828.42	1834.66	 Chester Ming the depraved Chinaman thought jujitsu was in Israel smartest of the bunch was Nikki Koskoff	0.0
1834.88	1839.92	 He actually went to law school. I called him rug rat because of his piece of shit hairpiece	1.0
1840.94	1846.88	 Still give them to me young hungry and stupid and in no time. I'll make them rich	1.0
1854.16	1855.26	 That's beautiful	0.0
1856.16	1860.5	 They're not the biggest stones in the world, but I promise they're really high quality beautiful. I don't	0.0
1861.6	1862.84	 That's so beautiful	0.0
1863.94	1864.48	 Boy	0.0
1868.36	1870.1	 What is it good, I don't know it's you know	0.0
1871.32	1873.24	 These stocks that these companies that	0.0
1874.2	1875.5	 They're like crappy companies	1.0
1882.28	1884.94	 No, but that's they're like not gonna make anyone money though, right	0.0
1886.44	1889.2	 Well, sometimes they do sometimes they don't you know, how it goes	0.0
1890.04	1894.22	 Well, when you feel better if you sold that stuff to rich people who can like afford to lose all that money	0.0
1896.2	1897.5	 Of course	0.0
1898.94	1902.26	 Rich people don't buy penny stocks. I just don't	0.0
1906.78	1912.12	 Because they're too smart that's why not I mean what person with a college education	0.0
1912.76	1917.04	 Would trust this bunch of jerk off time. You're calling back. I got five fucking grand on the phone right now	1.0
1917.88	1923.84	 But what if they didn't sound like a bunch of jerk-offs what if I could teach them how to sell to people with money	1.0
1924.62	1925.4	 real money	0.0
1926.42	1928.14	 So I decided to reinvent the company	0.0
1929.72	1929.74	 gentlemen	0.0
1929.96	1930.66	 welcome	0.0
1931.6	1932.86	 to Stratton	0.0
1932.86	1940.18	 Oakmont you schnooks will now be targeting the wealthiest 1% of Americans talking about whales	0.0
1941.18	1946.18	 Moby fucking dicks and with this script, which is now your new harpoon	1.0
1947.32	1953.5	 I'm gonna teach each and every one of you to be captain fucking a have get it, huh?	1.0
1953.9	1954.92	 Captain who?	0.0
1955.2	1956.62	 Captain a hat from the fucking	1.0
1958.52	1962.02	 Book motherfucker from the book turn your fucking brain on	1.0
1963.48	1969.94	 We're a new company with a new name a company that our clients can believe in a	0.0
1970.62	1972.84	 company that our clients can trust a	0.0
1973.52	1979.26	 Firm whose roots are so deeply embedded into Wall Street that our very founders	0.0
1979.96	1986.36	 sailed over on the Mayflower and chiseled the name stratton Oakmont right into fucking rock you got it	1.0
1987.76	1994.36	 What we're gonna do is this first we pitch him Disney AT&T IBM blue chip stocks exclusively	0.0
1994.7	1996.38	 companies these people know	0.0
1997.14	2004.4	 Once we suckered them in we unload the dog shit the pink sheets the penny stocks where we make the money	1.0
2004.84	2006.62	 50% commission baby	0.0
2007.38	2012.86	 Now the key to making money in a situation like this is to position yourself now before the settlement	0.0
2013.36	2019.26	 Because by the time you read about it in the Wall Street Journal, it's already too late and you wait	0.0
2020.62	2023.02	 You wait and whoever speaks first	0.0
2023.42	2023.92	 loses	0.0
2026.4	2030.68	 Sorry, I appreciate the call I really have to give this	0.0
2033.86	2038.36	 They don't know right they got to think about they got talked to the fucking wives or the fucking tooth fairy	1.0
2038.66	2043.44	 Point is doesn't matter what the fuck they say. The only real objection that they have is that they don't trust you guys	1.0
2044.16	2047.78	 Why should they trust you? I mean look at you. You're a bunch of fucking sleazy salesmen, right?	1.0
2048.96	2050.36	 So what do you say?	0.0
2050.52	2054.85	 Tell me that if I put you in it unit carbide at a seven it took you out at 32	0.0
2054.85	2060.12	 Texas Instruments at 11 and took you out at 47 US Steel at 16 took you out at 41	0.0
2060.2	2061.88	 You wouldn't be saying to me right now Chester	0.0
2062.04	2067.16	 Pick me up a few thousand shares of Disney on the spot right now. Come on, I mean honestly Kevin honestly, seriously	0.0
2070.14	2075.39	 I am complete agreement with you don't know me. I don't know you to introduce myself to you	0.0
2075.39	2079.52	 My name is Alton Kupferberg, Robbie Feinberg Chester May. I'm senior vice president	0.0
2079.92	2085.42	 Oakmont and I plan on being one of the top brokers of my firm next year, and I'm not gonna get there by being wrong	0.0
2092.68	2096.81	 This trade will do is serve as a benchmark for future business	0.0
2096.81	2102.92	 Can you feel comfortable with me now Scott and then you'll know for sure that you finally found a broker on Wall Street that you	0.0
2102.92	2107.78	 Can trust and who can consistently make you money?	0.0
2108.4	2109.22	 Sound fair enough	0.0
2112.74	2115.62	 Yeah, I guess I'm pretty impressed	0.0
2119.46	2119.8	 Kevin	0.0
